Keyword,Position,Previous position,Search Volume,Keyword Difficulty,CPC,URL,Traffic,Traffic (%),Traffic Cost,Competition,Number of Results,Trends,Timestamp,SERP Features by Keyword,Keyword Intents,Position Type
ic paglieta registro elettronico,8,8,170,3,0.00,https://www.scuoladvisor.it/scuole/15988/iic-paglieta,4,18.18,0.00,0,204,"[35,28,66,66,53,43,28,5,5,53,100,82]",2026-02-10,Related searches,commercial,Organic
buonarroti volta,8,8,590,35,0.00,https://www.scuoladvisor.it/scuole/41191/m-buonarroti-volta-guspini,1,4.54,0.00,0,1450000,"[8,6,30,45,24,24,24,16,20,62,100,81]",2026-02-07,"Sitelinks, Video, People also ask, Related searches",navigational,Organic
iseo antonietti,25,25,1600,24,0.92,https://www.scuoladvisor.it/scuole/43732,1,4.54,0.00,0,10300,"[65,54,29,29,43,29,29,36,54,54,4,13]",2026-02-17,"Knowledge panel, Video, Image, People also ask, Related searches",navigational,Organic
ic sturzo asta,9,9,170,25,0.00,https://www.scuoladvisor.it/scuole/31215,1,4.54,0.00,0,7000,"[43,34,65,100,53,100,43,12,15,81,65,65]",2026-02-10,"Knowledge panel, Sitelinks, Video, Image, Related searches",navigational,Organic
ic san benedetto san severo,7,7,140,13,0.00,https://www.scuoladvisor.it/scuole/17711/ic-san-benedetto-padre-pio,1,4.54,0.00,0,86700,"[12,81,81,100,81,81,34,6,6,12,15,28]",2026-02-10,"Sitelinks, Related searches",navigational,Organic
istituto virgilio eboli,7,7,170,26,0.00,https://www.scuoladvisor.it/scuole/44446/ic-virgilio-gonzaga-eboli,1,4.54,0.00,0,23700,"[35,44,44,35,35,28,18,3,11,35,35,28]",2026-02-09,"Knowledge panel, Sitelinks, Related searches",navigational,Organic
registro cloud nuova direzione didattica vasto,10,10,110,5,0.00,https://www.scuoladvisor.it/scuole/44917,1,4.54,0.00,0,2620,"[7,28,35,35,17,28,12,0,5,17,66,53]",2026-02-07,"People also ask, Related searches",commercial,Organic
icbonsegnatoniolo,6,6,170,28,0.00,https://www.scuoladvisor.it/scuole/11997/ic-bonsegna-toniolo,1,4.54,0.00,0,2940,"[53,42,100,100,80,80,53,7,7,80,100,65]",2026-02-10,"Knowledge panel, Sitelinks, Video, Image, Related searches",navigational,Organic
ic ceretolo,9,9,390,29,0.00,https://www.scuoladvisor.it/scuole/45734/ic-ceretolo,1,4.54,0.00,0,5180,"[13,16,13,16,20,13,20,25,16,46,20,20]",2026-02-10,"Local pack, Sitelinks, Video, Related searches",navigational,Organic
icbovolone,8,8,260,27,2.52,https://www.scuoladvisor.it/scuole/26842/ic-bovolone,1,4.54,2.00,0.05,1040,"[0,0,0,0,0,0,0,100,100,17,48,48]",2026-02-07,"Knowledge panel, Sitelinks, Related searches",navigational,Organic
cavour mazzini,8,8,170,23,0.00,https://www.scuoladvisor.it/scuole/9589/cavour-mazzini,1,4.54,0.00,0,2510000,"[53,53,53,81,65,100,43,15,21,81,81,65]",2026-02-06,"Sitelinks, Video, Image, Related searches",navigational,Organic
ic cuveglio,9,9,170,31,0.00,https://www.scuoladvisor.it/scuole/15137/ic-cuveglio-d-alighieri,1,4.54,0.00,0,2960,"[15,23,18,23,23,23,18,18,23,81,35,28]",2026-02-06,"Knowledge panel, Sitelinks, Image, Related searches",navigational,Organic
i.c. san teodoro,9,9,260,22,0.00,https://www.scuoladvisor.it/scuole/18457/ic-san-teodoro,1,4.54,0.00,0.02,674000,"[20,20,0,0,0,0,0,0,0,100,45,30]",2026-02-07,"Knowledge panel, Sitelinks, Related searches",navigational,Organic
i.c. alessandrini cesano boscone,7,7,210,22,0.00,https://www.scuoladvisor.it/scuole/30574/second-i-gr-e-alessandrini,1,4.54,0.00,0,1460,"[44,44,0,0,0,0,0,0,0,81,66,81]",2026-02-09,"Knowledge panel, Sitelinks, People also ask, Related searches",navigational,Organic
istituto comprensivo 20 villa fleurent,8,8,260,18,0.00,https://www.scuoladvisor.it/scuole/3899/na-ic-20-villa-fleurent,1,4.54,0.00,0.07,1300,"[44,35,28,35,28,35,18,54,23,100,81,66]",2026-02-07,"Knowledge panel, Sitelinks, Video, Related searches",navigational,Organic
ic forlanini,9,9,320,33,0.00,https://www.scuoladvisor.it/scuole/18538/i-c-piazza-forlanini,1,4.54,0.00,0,56500,"[29,44,36,29,23,36,36,12,15,54,44,36]",2026-02-07,"Knowledge panel, Sitelinks, Image, People also ask, Related searches",navigational,Organic
liceo artistico russoli pisa,6,6,320,26,0.00,https://www.scuoladvisor.it/scuole/47032/liceo-artistico-franco-russoli,1,4.54,0.00,0,8380,"[24,24,30,30,20,30,13,5,3,30,45,30]",2026-02-09,"Knowledge panel, Sitelinks, Video, People also ask, Related searches",navigational,Organic
ic2 grosseto,5,5,110,24,0.00,https://www.scuoladvisor.it/scuole/25887/ic-grosseto-2,1,4.54,0.00,0.1,1770,"[42,42,52,42,33,33,42,52,33,80,52,100]",2026-02-07,"Knowledge panel, Sitelinks, Related searches",navigational,Organic
